scheme name,target group,occupation,age,eligibility criteria,description,benenfits,application process,link,,,,,,,,,,,,,,,,,,,
Self Employment Scheme for Rehabilitation of Manual Scavengers (SRMS),Manual scavengers,na,na,Identified manual scavengers and their dependents,A scheme providing cash assistance and skill training for manual scavengers to promote self-employment.,One-time cash assistance and free skill training; job guarantees with local bodies.,Apply through NSKFDC or local authorities.,Link,,,,,,,,,,,,,,,,,,,
Stand Up India Scheme (StandUpIndia),SC/ST and women entrepreneurs,na,na,At least one SC/ST and one woman borrower per bank branch,A scheme providing collateral-free loans to promote entrepreneurship among SC/ST and women.,Access to loans ranging from ?10 lakh to ?1 crore; training and hand-holding support available.,Apply through banks with required documentation.,Link,,,,,,,,,,,,,,,,,,,
National Social Assistance Programme (NSAP),"Poor individuals, especially vulnerable groups",na,na,Must meet state-specific criteria,A welfare program that provides social assistance to the poor to ensure a minimum national standard.,"Financial assistance to various vulnerable groups including the elderly, widows, and disabled individuals.",Apply through state government offices.,NSAP,,,,,,,,,,,,,,,,,,,
Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Elderly individuals,anyone,60 and above,Age 60 years and above,Provides pension to elderly individuals to support them financially in their old age.,Monthly pension to help meet basic needs.,Apply through state government offices.,IGNOAPS,,,,,,,,,,,,,,,,,,,
Indira Gandhi National Widow Pension Scheme (IGNWPS),Widows,anyone,40 and above,"Age 40 years and above, must be a widow",Offers financial support to widows to help them sustain themselves after losing their spouses.,Monthly pension to assist with living expenses.,Apply through state government offices.,IGNWPS,,,,,,,,,,,,,,,,,,,
Indira Gandhi National Disability Pension Scheme (IGNDPS),Disabled individuals,,,Must have a disability certificate,Provides financial assistance to individuals with disabilities to support their living costs.,Monthly pension to help with basic needs and improve quality of life.,Apply through state government offices.,IGNDPS,,,,,,,,,,,,,,,,,,,
National Family Benefit Scheme (NFBS),Families of deceased breadwinners,,,Must be below the poverty line,Provides financial assistance to families upon the death of the primary breadwinner to help them cope.,One-time payment to support the family during a time of loss.,Apply through state government offices.,NFBS,,,,,,,,,,,,,,,,,,,
radhan Mantri Krishi Sinchayee Yojana (PMKSY),Farmers and agricultural producers,,,Farmers needing irrigation support,A scheme aimed at improving agricultural production and water use efficiency by expanding irrigation coverage.,"Increased irrigation access, improved water efficiency, and enhanced agricultural productivity.",Apply through state agriculture departments.,PMKSY,,,,,,,,,,,,,,,,,,,
Accelerated Irrigation Benefit Programme (AIBP),Farmers and agricultural producers,,,Must be part of the PMKSY initiative,A component of PMKSY that focuses on providing irrigation facilities to enhance agricultural productivity.,Financial assistance for irrigation projects and infrastructure development.,Apply through state agriculture departments.,AIBP,,,,,,,,,,,,,,,,,,,
Command Area Development & Water Management (CADWM),Farmers and agricultural producers,,,Projects must align with PMKSY objectives,A component aimed at developing irrigation facilities and improving water management practices in agriculture.,Improved irrigation efficiency and sustainable water management practices.,Apply through state agriculture departments.,CAD,,,,,,,,,,,,,,,,,,,
Pradhan Mantri Gram Sadak Yojana (PMGSY),Unconnected villages,,,Villages with a population of 500+ (plain areas) or 250+ (hilly areas),A nationwide scheme launched in 2000 to provide all-weather road connectivity to unconnected villages in India.,"Improved access to transportation, enhanced economic opportunities, and better access to services.",Apply through state government offices.,PMGSY,,,,,,,,,,,,,,,,,,,
Swachh Bharat Mission (SBM),Rural and urban populations,,,"All residents of India, especially in rural areas","Launched on October 2, 2014, to make India Open Defecation Free (ODF) and improve sanitation and hygiene.","Improved sanitation, reduced health risks, enhanced quality of life, and increased awareness about hygiene practices.",Registration through local government bodies.,SBM,,,,,,,,,,,,,,,,,,,
National Rural Livelihood Mission (NRLM),Rural poor in India,,,Rural households living below the poverty line,"Launched in June 2011, NRLM aims to improve livelihoods of rural poor by providing access to credit and services.","Enhanced income, improved access to public services, and support for skill development and self-employment.",Apply through local self-help groups or government offices.,NRLM,,,,,,,,,,,,,,,,,,,
Beti Bachao Beti Padhao (BBBP),Girl children and their families,,,"All citizens, especially in targeted states","Launched on January 22, 2015, to address the declining Child Sex Ratio (CSR) and promote gender equality.","Improved sex ratio, increased awareness about gender bias, and empowerment of girls through education.",Awareness campaigns and community involvement.,BBBP,,,,,,,,,,,,,,,,,,,
Pradhan Mantri Sahaj Bijli Har Ghar Yojana (SAUBHAGYA),Un-electrified households in rural and urban areas,,,Households without electricity,"Launched in 2017, this scheme aims to provide electricity to all un-electrified households, including solar systems for remote areas.","Access to electricity, improved quality of life, and economic development.",Apply through local electricity distribution companies.,SAUBHAGYA,,,,,,,,,,,,,,,,,,,
Remote Village Electrification Programme,Remote villages and hamlets,,,Remote areas without electricity,A scheme by the Ministry of New and Renewable Energy providing financial support for electrifying remote areas using renewable energy.,"Access to electricity, promotion of renewable energy, and enhanced living standards.",Apply through local government bodies or energy departments.,Remote Village Electrification,,,,,,,,,,,,,,,,,,,
